site,component,product,periods_lo,periods_hi,join,chosen_by,note,date
Q50,tipper,xy,,,,rule,neither fault fires,2026-09-17
Q50,xy,stack_1hz,2.303480305358564,5786.970058216919,,rule,,2026-09-17
Q50,yx,stack_1hz,2.303480305358564,5786.970058216919,16,rule,,2026-09-17
Q51,tipper,xy,,,,rule,neither fault fires,2026-09-17
Q51,xy,remote_1hz,14.72505090450098,12117.610620455594,,rule,,2026-09-17
Q51,yx,remote_1hz,9.891989368089828,8339.914916188025,,rule,,2026-09-17
Q52N,tipper,xy,,,,rule,neither fault fires,2026-09-17
Q52N,xy,remote_1hz,5.419581272311739,3029.4024715683004,16,rule,,2026-09-17
Q52N,yx,remote_1hz,4.36555784407799,12117.610620455594,,rule,,2026-09-17
Q53N,tipper,xy,,,,rule,neither fault fires,2026-09-17
Q53N,xy,stack_1hz,8.164091712140657,40815.76010781891,16,rule,,2026-09-17
Q53N,yx,stack_1hz,6.685533241474106,27748.264415431473,16,rule,,2026-09-17
Q60N,tipper,xy,,,,rule,neither fault fires,2026-09-17
Q60N,xy,stack_1hz,6.685533241474106,13210.816223674972,,rule,,2026-09-17
Q60N,yx,stack_1hz,6.685533241474106,23147.88023286768,16,rule,,2026-09-17
Q61N,tipper,xy,,,,rule,neither fault fires,2026-09-17
Q61N,xy,stack_1hz,2.303480305358564,5786.970058216919,16,rule,,2026-09-17
Q61N,yx,remote_1hz,2.303480305358564,12117.610620455594,16,rule,,2026-09-17
Q62N,tipper,xy,,,,rule,neither fault fires,2026-09-17
Q62N,xy,remote_1hz,11.958831483441624,8339.914916188025,,rule,,2026-09-17
Q62N,yx,remote_1hz,8.164091712140657,8339.914916188025,,rule,,2026-09-17
Q63,tipper,xy,,,,rule,neither fault fires,2026-09-17
Q63,xy,stack_1hz,6.685533241474106,12117.610620455594,,rule,,2026-09-17
Q65,tipper,xy,,,,rule,neither fault fires,2026-09-17
Q65,xy,stack_1hz,8.164091712140657,12117.610620455594,,rule,,2026-09-17
Q72N,tipper,xy,,,,rule,neither fault fires,2026-09-17
Q72N,xy,remote_1hz,2.303480305358564,4263.772304325896,,rule,,2026-09-17
Q72N,yx,remote_1hz,2.303480305358564,6937.064178942958,,rule,,2026-09-17
Q73,tipper,xy,,,,rule,neither fault fires,2026-09-17
Q73,xy,remote_1hz,2.303480305358564,8339.914916188025,16,rule,,2026-09-17
Q73,yx,remote_1hz,2.303480305358564,48470.44248182238,16,rule,,2026-09-17
Q74N,tipper,xy,,,,rule,neither fault fires,2026-09-17
Q74N,xy,stack_1hz,3.503810043040803,5786.970058216919,,rule,,2026-09-17
Q74N,yx,stack_1hz,6.685533241474106,8339.914916188025,16,rule,,2026-09-17
Q75,tipper,xy,,,,rule,neither fault fires,2026-09-17
Q75,xy,remote_1hz,2.8009101837733192,40815.76010781891,,rule,,2026-09-17
Q75,yx,stack_1hz,2.8009101837733192,12117.610620455594,,rule,,2026-09-17
Q76ALT,tipper,xy,,,,rule,neither fault fires,2026-09-17
Q76ALT,xy,stack_1hz,2.303480305358564,8339.914916188025,,rule,,2026-09-17
Q76ALT,yx,stack_1hz,2.303480305358564,12117.610620455594,,rule,,2026-09-17
Q77N,tipper,xy,,,,rule,a magnetic channel is under 80 per cent finite,2026-09-17
Q77N,xy,remote_1hz,30.328267097408933,8339.914916188025,,rule,,2026-09-17
Q77N,yx,remote_1hz,14.72505090450098,13210.816223674972,,rule,,2026-09-17
Q83,tipper,xy,,,,rule,neither fault fires,2026-09-17
Q83,xy,stack_1hz,2.8009101837733192,4263.772304325896,,rule,,2026-09-17
Q83,yx,stack_1hz,3.503810043040803,8339.914916188025,16,rule,,2026-09-17
Q85N,tipper,xy,,,,rule,neither fault fires,2026-09-17
Q85N,xy,remote_1hz,5.419581272311739,3302.704055918743,,rule,,2026-09-17
Q85N,yx,stack_1hz,8.164091712140657,3302.704055918743,,rule,,2026-09-17
Q86N,tipper,xy,,,,rule,neither fault fires,2026-09-17
Q86N,xy,remote_1hz,39.859153694505096,23147.88023286768,,rule,,2026-09-17
Q86N,yx,stack_1hz,51.45793185426085,12117.610620455594,,rule,,2026-09-17
Q88N,tipper,xy,,,,rule,neither fault fires,2026-09-17
Q88N,xy,remote_1hz,2.8009101837733192,6937.064178942958,,rule,,2026-09-17
Q88N,yx,remote_1hz,2.8009101837733192,10203.941068158756,,rule,,2026-09-17
