site,dipole_n_m,dipole_e_m,source
Q46N,10.9,9.4,"deployment sheet QLD_AusLAMP_process.xlsx sheet Phase2 transcribed 2026-09-16, confidence not recorded"
Q47N,9.6,11.8,"deployment sheet QLD_AusLAMP_process.xlsx sheet Phase2 transcribed 2026-09-16, confidence not recorded"
Q48N,9.2,10.8,"deployment sheet QLD_AusLAMP_process.xlsx sheet Phase2 transcribed 2026-09-16, confidence not recorded"
Q56N,12,10.7,"deployment sheet QLD_AusLAMP_process.xlsx sheet Phase2 transcribed 2026-09-16, confidence not recorded"
Q57N,10.3,11.9,"deployment sheet QLD_AusLAMP_process.xlsx sheet Phase2 transcribed 2026-09-16, confidence not recorded"
Q58N,9,11.9,"deployment sheet QLD_AusLAMP_process.xlsx sheet Phase2 transcribed 2026-09-16, confidence not recorded"
Q59N,12.1,12.3,"deployment sheet QLD_AusLAMP_process.xlsx sheet Phase2 transcribed 2026-09-16, confidence not recorded"
Q66N,10.2,10.9,"deployment sheet QLD_AusLAMP_process.xlsx sheet Phase2 transcribed 2026-09-16, confidence not recorded"
Q67N,9,9.8,"deployment sheet QLD_AusLAMP_process.xlsx sheet Phase2 transcribed 2026-09-16, confidence not recorded"
Q68N,14.8,14.3,"deployment sheet QLD_AusLAMP_process.xlsx sheet Phase2 transcribed 2026-09-16, confidence not recorded"
Q69N,12.1,10,"deployment sheet QLD_AusLAMP_process.xlsx sheet Phase2 transcribed 2026-09-16, confidence not recorded"
Q70N,10,10.6,"deployment sheet QLD_AusLAMP_process.xlsx sheet Phase2 transcribed 2026-09-16, confidence not recorded"
Q71N,9.4,9.2,"deployment sheet QLD_AusLAMP_process.xlsx sheet Phase2 transcribed 2026-09-16, confidence not recorded"
Q78N,10.9,10.5,"deployment sheet QLD_AusLAMP_process.xlsx sheet Phase2 transcribed 2026-09-16, confidence not recorded"
Q79N,11,11,"deployment sheet QLD_AusLAMP_process.xlsx sheet Phase2 transcribed 2026-09-16, confidence not recorded"
Q80N,9.2,9.5,"deployment sheet QLD_AusLAMP_process.xlsx sheet Phase2 transcribed 2026-09-16, confidence not recorded"
Q81N,11,12.3,"deployment sheet QLD_AusLAMP_process.xlsx sheet Phase2 transcribed 2026-09-16, confidence not recorded"
Q82,9.2,9.4,"deployment sheet QLD_AusLAMP_process.xlsx sheet Phase2 transcribed 2026-09-16, confidence not recorded"
