site,sign_hx,sign_hy,sign_hz,sign_ex,sign_ey,sign_source,e_exchange,e_exchange_source,e_shift_s,e_shift_source,h_exchange,h_gain,h_gain_source,h_lender,h_lender_channels,h_lender_source,rot_regimes,rot_drop,windows,keep_mask,remote_site,remote_source,stack_members,flags
Q17,decide,decide,decide,-1,+1,"campaign rule -s_orient on the sheet direction (0/90 -> -1, 180/270 -> +1); overrides qld_phase1.py E_SIGN_OVERRIDE",decide,decide,decide,decide,decide,decide,decide,decide,decide,decide,decide,decide,decide,decide,Q21,"D:/BEN/MTH5_Aurora_mt-io_2026/work/qld_phase3/phase3_remotes_table.csv, column remote_site",decide,decide
Q21,decide,decide,decide,-1,-1,"campaign rule -s_orient on the sheet direction (0/90 -> -1, 180/270 -> +1); overrides qld_phase1.py E_SIGN_OVERRIDE",decide,decide,decide,decide,decide,decide,decide,decide,decide,decide,decide,decide,decide,decide,Q17,"D:/BEN/MTH5_Aurora_mt-io_2026/work/qld_phase3/phase3_remotes_table.csv, column remote_site",decide,decide
Q22,decide,decide,decide,-1,-1,"campaign rule -s_orient on the sheet direction (0/90 -> -1, 180/270 -> +1); overrides qld_phase1.py E_SIGN_OVERRIDE",decide,decide,decide,decide,decide,decide,decide,decide,decide,decide,decide,decide,decide,decide,Q21,"D:/BEN/MTH5_Aurora_mt-io_2026/work/qld_phase3/phase3_remotes_table.csv, column remote_site",decide,decide
Q27,decide,decide,decide,-1,-1,"campaign rule -s_orient on the sheet direction (0/90 -> -1, 180/270 -> +1); overrides qld_phase1.py E_SIGN_OVERRIDE",decide,decide,decide,decide,decide,decide,decide,decide,decide,decide,decide,decide,decide,decide,Q33,"D:/BEN/MTH5_Aurora_mt-io_2026/work/qld_phase3/phase3_remotes_table.csv, column remote_site",decide,decide
Q28,decide,decide,decide,-1,+1,"campaign rule -s_orient on the sheet direction (0/90 -> -1, 180/270 -> +1); overrides qld_phase1.py E_SIGN_OVERRIDE",decide,decide,decide,decide,decide,decide,decide,decide,decide,decide,decide,decide,decide,decide,Q33,"D:/BEN/MTH5_Aurora_mt-io_2026/work/qld_phase3/phase3_remotes_table.csv, column remote_site",decide,decide
Q31,decide,decide,decide,+1,+1,"campaign rule -s_orient on the sheet direction (0/90 -> -1, 180/270 -> +1); overrides qld_phase1.py E_SIGN_OVERRIDE",decide,decide,decide,decide,decide,decide,decide,decide,decide,decide,decide,decide,decide,decide,Q38,"D:/BEN/MTH5_Aurora_mt-io_2026/work/qld_phase3/phase3_remotes_table.csv, column remote_site",decide,decide
Q32,decide,decide,decide,-1,+1,"campaign rule -s_orient on the sheet direction (0/90 -> -1, 180/270 -> +1); overrides qld_phase1.py E_SIGN_OVERRIDE",decide,decide,decide,decide,decide,decide,decide,decide,decide,decide,decide,decide,decide,decide,Q45,"D:/BEN/MTH5_Aurora_mt-io_2026/work/qld_phase3/phase3_remotes_table.csv, column remote_site",decide,decide
Q33,decide,decide,decide,-1,+1,"campaign rule -s_orient on the sheet direction (0/90 -> -1, 180/270 -> +1); overrides qld_phase1.py E_SIGN_OVERRIDE",decide,decide,decide,decide,decide,decide,decide,decide,decide,decide,decide,decide,decide,decide,Q54,"D:/BEN/MTH5_Aurora_mt-io_2026/work/qld_phase3/phase3_remotes_table.csv, column remote_site",decide,decide
Q34,decide,decide,decide,-1,-1,"campaign rule -s_orient on the sheet direction (0/90 -> -1, 180/270 -> +1); overrides qld_phase1.py E_SIGN_OVERRIDE",decide,decide,decide,decide,decide,decide,decide,decide,decide,decide,decide,decide,decide,decide,Q33,"D:/BEN/MTH5_Aurora_mt-io_2026/work/qld_phase3/phase3_remotes_table.csv, column remote_site",decide,decide
Q38,decide,decide,decide,+1,-1,"campaign rule -s_orient on the sheet direction (0/90 -> -1, 180/270 -> +1); overrides qld_phase1.py E_SIGN_OVERRIDE",decide,decide,decide,decide,decide,decide,decide,decide,decide,decide,decide,decide,decide,decide,Q45,"D:/BEN/MTH5_Aurora_mt-io_2026/work/qld_phase3/phase3_remotes_table.csv, column remote_site",decide,decide
Q39,decide,decide,decide,-1,+1,"campaign rule -s_orient on the sheet direction (0/90 -> -1, 180/270 -> +1); overrides qld_phase1.py E_SIGN_OVERRIDE",decide,decide,decide,decide,decide,decide,decide,decide,decide,decide,decide,decide,decide,decide,Q33,"D:/BEN/MTH5_Aurora_mt-io_2026/work/qld_phase3/phase3_remotes_table.csv, column remote_site",decide,decide
Q44,decide,decide,decide,-1,+1,"campaign rule -s_orient on the sheet direction (0/90 -> -1, 180/270 -> +1); overrides qld_phase1.py E_SIGN_OVERRIDE",decide,decide,decide,decide,decide,decide,decide,decide,decide,decide,decide,decide,decide,decide,Q45,"D:/BEN/MTH5_Aurora_mt-io_2026/work/qld_phase3/phase3_remotes_table.csv, column remote_site",decide,decide
Q45,decide,decide,decide,+1,-1,"campaign rule -s_orient on the sheet direction (0/90 -> -1, 180/270 -> +1); overrides qld_phase1.py E_SIGN_OVERRIDE",decide,decide,decide,decide,decide,decide,decide,decide,decide,decide,decide,decide,decide,decide,Q54,"D:/BEN/MTH5_Aurora_mt-io_2026/work/qld_phase3/phase3_remotes_table.csv, column remote_site",decide,decide
