site,raw_path,instrument,serial,serial_source,layout,sample_rate_hz,files,start_utc,end_utc,days,date_correction,lat,lon,elev_m,position_source,position_scatter_m,dipole_n_m,dipole_e_m,dipole_source,azimuth_n_deg,azimuth_e_deg,azimuth_source,declination_deg,observatory,notes
Q17,E:\MT_Timeseries_DATA\MT_AusLAMP_QLD\Phase 3\Rawdata from Earth Data Logger june july 2026\Q17,PR6-24+Mag-03,60962,"recorder.msg boot records in window (5 of 5); file holds 3 serial(s), majority 61000 is the previous deployment",edl_dayofyear,10.0,4110,2026-06-13 23:57:48+00:00,2026-07-18 00:45:59.900000+00:00,34.033,+1024 weeks,-20.0464,142.03813,137.0,"EDL .gps median over 37 daily files, >= 3 satellites",2.2264000003112017,11.3,9.5,"deployment sheet transcribed 2026-09-05, confidence high",0,270,deployment sheet (direction as laid),6.029,CTA,"resistance rows relabelled N-G/W-G, agrees; clay soil hard digging; silver electrodes"
Q21,E:\MT_Timeseries_DATA\MT_AusLAMP_QLD\Phase 3\Rawdata from Earth Data Logger june july 2026\Q21,PR6-24+Mag-03,62217,"recorder.msg boot records in window (72 of 72); file holds 3 serial(s), majority 60962 is the previous deployment",edl_dayofyear,10.0,4020,2026-06-13 04:00:00+00:00,2026-07-16 15:44:59.900000+00:00,33.49,+1024 weeks,-20.6509,142.07459,142.0,"EDL .gps median over 34 daily files, >= 3 satellites",2.20878822234278,12.6,13,"deployment sheet transcribed 2026-09-05, confidence medium",0,90,deployment sheet (direction as laid),6.153,CTA,"13.0 was written in the Ex South cell and both Ey cells left blank, but the resistance rows are relabelled N-G and E-G, and Ey is live in the data, so 13.0 is the Ey EAST distance in the wrong column; sheet longitude is 2.9 km from the logger GPS, use GPS; pickup note: sensor ~5cm above ground with no cover and one electrode exposed"
Q22,E:\MT_Timeseries_DATA\MT_AusLAMP_QLD\Phase 3\Rawdata from Earth Data Logger june july 2026\Q22,PR6-24+Mag-03,60964,"recorder.msg boot records in window (2 of 2); file holds 3 serial(s), majority 62217 is the previous deployment",edl_dayofyear,10.0,4045,2026-06-13 01:00:00+00:00,2026-07-16 17:04:59.900000+00:00,33.67,+1024 weeks,-20.78884,143.23022500000002,214.0,"EDL .gps median over 34 daily files, >= 3 satellites",1.6857772022580992,14,10,"deployment sheet transcribed 2026-09-05, confidence high",0,90,deployment sheet (direction as laid),6.511,CTA,"N-G/E-G agrees; power line 50 m N; active railway, train passed 11:09 on 13/6"
Q27,E:\MT_Timeseries_DATA\MT_AusLAMP_QLD\Phase 3\Rawdata from Earth Data Logger june july 2026\Q27,PR6-24+Mag-03,60771,"recorder.msg boot records in window (1 of 1); file holds 3 serial(s), majority 61002 is the previous deployment",edl_dayofyear,10.0,3810,2026-06-12 01:32:42+00:00,2026-07-13 17:32:59.900000+00:00,31.667,+1024 weeks,-22.11299,143.9843,252.0,"EDL .gps median over 32 daily files, >= 3 satellites",2.4536648265932386,10.95,12.41,"deployment sheet transcribed 2026-09-05, confidence high",0,90,deployment sheet (direction as laid),6.998,CTA,N-G/E-G agrees; borrow pit
Q28,E:\MT_Timeseries_DATA\MT_AusLAMP_QLD\Phase 3\Rawdata from Earth Data Logger june july 2026\Q28,PR6-24+Mag-03,62219,"recorder.msg boot records in window (77 of 77); file holds 3 serial(s), majority 60965 is the previous deployment",edl_dayofyear,10.0,4405,2026-06-07 01:00:00+00:00,2026-07-13 17:32:59.900000+00:00,36.69,+1024 weeks,-21.98068,145.8827,303.0,"EDL .gps median over 37 daily files, >= 3 satellites",2.345556574689906,9.3,9.1,"deployment sheet transcribed 2026-09-05, confidence high",0,270,deployment sheet (direction as laid),7.526,CTA,"N-G/W-G agrees; dirt roads 10 ohm, problem when rain; sensor number not recorded"
Q31,E:\MT_Timeseries_DATA\MT_AusLAMP_QLD\Phase 3\Rawdata from Earth Data Logger june july 2026\Q31,PR6-24+Mag-03,61000,"recorder.msg boot records in window (73 of 73); file holds 3 serial(s), majority 62138 is the previous deployment",edl_dayofyear,10.0,4040,2026-06-11 23:00:00+00:00,2026-07-15 14:37:59.900000+00:00,33.651,+1024 weeks,-23.05929,143.93813,231.0,"EDL .gps median over 35 daily files, >= 3 satellites",2.331439546126076,11.14,9.45,"deployment sheet transcribed 2026-09-05, confidence high",180,270,deployment sheet (direction as laid),7.185,CTA,"Ex North cell struck out and 11.14 entered under Ex South; resistance rows relabelled S-G/W-G, agrees"
Q32,E:\MT_Timeseries_DATA\MT_AusLAMP_QLD\Phase 3\Rawdata from Earth Data Logger june july 2026\Q32,PR6-24+Mag-03,62222,"recorder.msg boot records in window (77 of 77); file holds 3 serial(s), majority 60966 is the previous deployment",edl_dayofyear,10.0,4400,2026-06-05 06:00:00+00:00,2026-07-11 21:46:59.900000+00:00,36.658,+1024 weeks,-23.06134,145.24693,234.0,"EDL .gps median over 37 daily files, >= 3 satellites",1.5127066173798127,13.1,8.1,"deployment sheet transcribed 2026-09-05, confidence high",0,270,deployment sheet (direction as laid),7.576,CTA,"N-G, E-G struck and rewritten W-G, agrees; power line 100 m away"
Q33,E:\MT_Timeseries_DATA\MT_AusLAMP_QLD\Phase 3\Rawdata from Earth Data Logger june july 2026\Q33,PR6-24+Mag-03,62221,"recorder.msg boot records in window (79 of 79); file holds 3 serial(s), majority 62222 is the previous deployment",edl_dayofyear,10.0,4405,2026-06-05 03:00:00+00:00,2026-07-11 19:27:59.900000+00:00,36.686,+1024 weeks,-23.02201,145.9966,371.0,"EDL .gps median over 37 daily files, >= 3 satellites",3.61420959261211,10.9,9.8,"deployment sheet transcribed 2026-09-05, confidence high",0,270,deployment sheet (direction as laid),7.79,CTA,"N-G, E-G struck and rewritten W-G, agrees; really dry soil at pickup"
Q34,E:\MT_Timeseries_DATA\MT_AusLAMP_QLD\Phase 3\Rawdata from Earth Data Logger june july 2026\Q34,PR6-24+Mag-03,60848,"recorder.msg boot records in window (22 of 22); file holds 3 serial(s), majority 62221 is the previous deployment",edl_dayofyear,10.0,4385,2026-06-06 02:00:00+00:00,2026-07-12 14:33:59.900000+00:00,36.524,+1024 weeks,-23.0043,147.00808,350.0,"EDL .gps median over 37 daily files, >= 3 satellites",2.4508799333540527,10.6,11.2,"deployment sheet transcribed 2026-09-05, confidence high",0,90,deployment sheet (direction as laid),8.085,CTA,N-G/G-E agrees; site on old road with lots of gravel; sensor number not recorded
Q38,E:\MT_Timeseries_DATA\MT_AusLAMP_QLD\Phase 3\Rawdata from Earth Data Logger june july 2026\Q38,PR6-24+Mag-03,62218,"recorder.msg boot records in window (67 of 67); file holds 3 serial(s), majority 60963 is the previous deployment",edl_dayofyear,10.0,3705,2026-06-08 01:00:00+00:00,2026-07-08 21:59:59.900000+00:00,30.875,+1024 weeks,-23.93242,143.88688,217.0,"EDL .gps median over 31 daily files, >= 3 satellites",2.130692144923654,9.42,9.4,"deployment sheet transcribed 2026-09-05, confidence high",180,90,deployment sheet (direction as laid),7.361,CTA,S-G/E-G agrees
